companyId,Fundamentals Source,Name,Market Capitalization,Close Price,Industry,Sector,Price To Earnings,Price To Sales,Revenue Growth TTM,PAT Growth TTM,PAT Growth QoQ,Price To Book Value,Returns 1W,Returns 1M,Returns 3M,Returns 6M,SMA 20D,EV To EBITDA,52WH Distance,52WL,Debt To Equity,Debt To Equity 3 Years Back,Change In DII Holdings 1 Year,Change In FII Holdings 1 Year,Promoter Holdings,Change In Promoter Holdings 1 Year,ROCE,PBT Growth TTM,Revenue Growth QoQ,Revenue Growth YoY,52WL Distance,All Time High Distance,CFO To PAT,CFO To EBITDA,CWIP,CWIP 1 Year Back,Fixed Assets,Fixed Assets 2 Years Back,Debt,Debt 2 Years Back
NSE:TTML,S,Tata Teleservices (Maharashtra) Ltd,8992.67,46,Telecom Services,Telecom-Service,null,7.42,-5.82,-0.27,1.28,-0.46,-1.5,-10.44,-18,-28.39,48.71,50.17,45.56,44.52,-1.04,-0.8,0.04,0.25,74.36,0,57.19,-0.27,0.66,-16.7,3.32,84.15,-39.61,88.5,24.2,34.76,null,788.14,20501.76,20047.16
NSE:TATVA,C,Tatva Chintan Pharma Chem Ltd,3229.51,1380.6,Speciality Chemicals,Chemicals,182.14,7.44,16.88,0.68,49.17,4.28,8.75,-3.16,7.35,46.81,1340.37,58.45,14.25,621,0.11,0.33,-3.01,0.81,72.02,0,3.14,-0.69,5.7,47.95,122.32,53.64,431.84,72.11,79.88,27.23,515.47,430.49,83.01,14.27
NSE:TBOTEK,C,TBO Tek Ltd,16514.03,1520.8,E-Commerce - Platform - Utility,E-Commerce/App based Aggregator,67.71,8.48,24.41,9.72,7.27,11.91,-1.08,-10.74,-3.05,7.87,1621.47,55.49,13.83,996,0.52,0.21,12.31,-12.32,44.41,0,14.57,9.47,11,25.92,52.69,24,125.63,104.95,1.27,38.91,452.3,362.86,718.71,210.46
BSE:TCC,C,TCC Concept Ltd,2138.05,449.85,Miscellaneous,Realty,33.95,20.63,46.74,56.7,10.62,1.53,0.01,6.83,-26.66,-16.34,459.56,27.1,34.61,336,0.05,0.01,1.31,0.62,45.69,-15.19,8.69,53.47,21.8,60.01,33.88,43.63,55.04,38.45,40.04,125.34,617.84,141.18,36.81,8.68
NSE:TCIEXP,C,TCI Express Ltd,1978.96,515.1,Logistics - Warehousing/Supply Chain,Logistics,24.06,1.65,-2.79,-26.2,22.8,2.45,-3.45,-12.15,-24.54,-31.1,564.65,17.05,39.26,511,0.02,0.01,-0.72,-0.89,69.46,-0.07,13.59,-25.16,7.6,-0.97,0.8,79.97,138.01,94.99,25.5,20.34,470.36,451.71,14,10.46
NSE:TCPLPACK,C,TCPL Packaging Ltd,2553.28,2805.8,Packaging - FMCG/Consumers,Packaging,20.14,1.43,9.49,9.92,28.67,3.81,-3.58,-7.41,-20.2,-27.53,2952.67,11.3,42.74,2751.1,1.03,1.13,0.8,-0.01,55.74,0,17.11,1.32,8.43,-0.47,1.99,42.74,92.87,45.31,54.31,64.26,804.43,698.33,691.43,503.84
NSE:TDPOWERSYS,C,TD Power Systems Ltd,10435.15,668,Capital Goods - Gensets/Turbines,Capital Goods - Electrical Equipment,50.07,6.85,40.14,53.6,20.21,10.85,-0.61,-3.07,4.82,34.8,695.49,37.51,21.41,293,0.04,0,-3.71,6.56,26.87,-7.39,28.19,53.15,21.66,47.65,127.99,21.41,22.64,17.13,48.18,16.59,208.51,185.73,35.74,0.01
NSE:TEAMLEASE,C,Team Lease Services Ltd,2561.62,1527.6,Services - Others,Miscellaneous,21.81,0.22,14.13,15.11,11.32,2.67,-0.79,-4.73,-12.06,-21.99,1563.23,15.57,44.75,1463.8,0.13,0.12,16.12,-18.04,31.11,-0.5,12.77,13.88,4.87,8.41,4.36,72.48,94.49,75.59,0,33.67,336.14,304.07,127.62,104.81
NSE:TECHM,C,Tech Mahindra Ltd,163662.45,1670.5,IT - Software,IT - Software,32.01,2.97,5.05,21.61,-6.92,5.94,5.58,5.85,14.12,3.89,1610.66,18.45,3.8,1209.4,0.07,0.1,3.64,-3.06,34.98,-0.04,22.34,21.34,2.85,8.34,38.13,9.11,136.04,83.08,23,20.6,14261.7,13935.1,1954.4,2536.7
NSE:TIIL,C,Technocraft Industries (India) Ltd,4513.47,1990.7,Scaffolding,Steel,17.17,1.65,16.03,-1.52,-3.85,2.4,-7.95,-8.29,-15.58,-34.24,2204.29,12.03,41.16,1975,0.44,0.46,0.08,-0.02,74.75,0,15.39,-2.09,18.83,19.64,0.79,49.38,105.07,66.51,32.57,33.26,863.46,738.3,822.69,675.07
